,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
1661,Practice advanced SQL queries with MySQL 5.7+,Michal Juhas,4.1,538,5 total hours,79 lectures,Expert,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/practice-advanced-sql-with-mysql/,Build on your current knowledge and get to a next level in SQL. Learn by writing - lots of examples are waiting for you.,₹385,"₹3,520",Development,Database Design & Development,MySQL
1662,Web Development | HTML | CSS | JavaScript | jQuery | NodeJS,Web University by Harsha Vardhan,4.6,537,62.5 total hours,594 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ui-technologies-indepth/,Full Stack Web Development Bootcamp | HTML Project | HTML 5 | CSS 3 | JavaScript | Bootstrap | ES6 | jQuery | NodeJS,₹385,"₹1,280",Development,Web Development,jQuery
1663,A Java Spring Boot Microservices project for beginners,FutureX Skill,4.4,536,4 total hours,57 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/java-spring-boot-microservices-project-for-beginners/,"2021 edition - Java, Spring Framework, Spring Boot, Spring Cloud, Microservices, IntelliJ, REST, JPA, Maven, Zuul,Ribbon",₹385,"₹1,280",Development,Programming Languages,Microservices
1664,Project in DevOps - Build Real World Processes,"Eduonix Learning Solutions, Eduonix-Tech ., Samy Eduonix",4.6,536,9 total hours,59 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/project-in-devops-build-real-world-processes/,"A comprehensive resource to master DevOps . Learn Vagrant, Docker, Ansible, Git and Jenkins in one single course",₹385,"₹6,400",Development,Software Engineering,DevOps
1665,SQL - MySQL & Statistics for Data Analysis Bootcamp 2021,Mahmoud Ali,4.4,536,14.5 total hours,274 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ureadup_sds/,"MySQL for Data analytics & Statistics for Data Science : SQL - MySQL from Scratch for Beginners , with 20Apps/Projects",₹385,"₹8,640",Development,Data Science,Data Analysis
1666,Data Structures and Algorithms In Python,Deepali Srivastava,4.1,536,10.5 total hours,132 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-structures-algorithms-in-python/,Data Structures and Algorithms in Python using Data Structures Algorithms with Python Data Structures DSA Algo Leetcode,₹385,"₹8,640",Development,Software Engineering,Data Structures
1667,Learn by Example : HBase - The Hadoop Database,Loony Corn,4.2,537,5 total hours,43 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-by-example-hbase/,25 solved examples to get you up to speed with HBase,₹385,"₹6,400",Development,Database Design & Development,Hadoop
1668,"Python, JS, & React | Build a Blockchain & Cryptocurrency",David Joseph Katz,4.6,533,15 total hours,133 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-js-react-blockchain/,"Build a blockchain and cryptocurrency with Python, JavaScript, and React! Backend and frontend web development included!",₹385,"₹8,640",Development,Software Engineering,Cryptocurrency
1669,Design Patterns in Go,Dmitri Nesteruk,4.6,533,10 total hours,110 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/design-patterns-go/,Discover the modern implementation of design patterns in Go (golang),₹385,"₹6,400",Development,Programming Languages,Design Pattern
1670,Advanced Android - Architecture with Dagger 2 and more,Brandon Gogetap,4.4,532,8 total hours,90 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/advanced-android/,"Learn to build production-grade Android apps, not just make them ""work""",₹385,"₹6,400",Development,Mobile Development,Android Development
1671,"HTML5, CSS3 & JavaScript Course: Complete Guide",Fatah Gabrial,4.1,532,4.5 total hours,85 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/html5-css3-javascript-complete-guide/,"A Complete Step by Step Guide for Beginners to get started with HTML5, CSS3, & JavaScript in-depth.",₹385,"₹8,000",Development,Web Development,Front End Web Development
1672,React Redux Ecommerce - Master MERN Stack Web Development,Ryan Dhungel,4.7,530,43 total hours,247 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/react-redux-ecommerce/,Build one of The Biggest Real World MERN Stack E-commerce Project using React Redux Node MongoDB and Ant Design,₹385,"₹8,640",Development,Web Development,MERN Stack
1673,iOS 12 & Xcode 10 - Complete Swift 4.2 & Objective-C Course,Aaron Caines,4.2,529,72.5 total hours,280 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ios-12-xcode-10/,A Complete iOS 12 and Xcode 10 Course with Swift 4.2 & Objective-C,₹385,"₹8,640",Development,Mobile Development,iOS Development
1674,Data Science and Machine Learning using Python - A Bootcamp,"Dr. Junaid Qazi, PhD",4.2,529,25 total hours,111 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-science-and-machine-learning-using-python-bootcamp-qazi/,Numpy Pandas Matplotlib Seaborn Ploty Machine Learning Scikit-Learn Data Science Recommender system NLP Theory Hands-on,₹385,"₹8,640",Development,Data Science,Null
1675,Apache Spark 3 - Databricks Certified Associate Developer,Wadson Guimatsa,4.5,529,4.5 total hours,35 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/apache-spark-3-databricks-certified-associate-developer/,Learn Apache Spark 3 With Scala & Earn the Databricks Associate Certification to prove your skills as data professional,₹385,"₹3,200",Development,Data Science,Apache Spark
1676,Complete Bubble Developer Course: Build Apps Without Coding,Leon Petrou,4.4,529,10 total hours,108 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/build-fully-functional-apps-without-coding-using-bubble/,Learn how to build fully functional web and mobile applications without code - go from beginner to advanced.,₹385,"₹8,640",Development,No-Code Development,Bubble Visual Programming
1677,Digital Signal Processing  (DSP)  From Ground Up™ in Python,"Israel Gbati, BHM Engineering Academy",4.3,528,12.5 total hours,151 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-dsp/,"Practical DSP in Python  :  Over 70 examples, FFT,Filter Design, IIR,FIR, Window Filters,Convolution,Linear Systems etc",₹385,"₹8,320",Development,Programming Languages,Signal Processing
1678,Basics in Cloud Computing with SAP Cloud Platform,Srinivas Vanamala,4.3,527,3 total hours,58 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/sap-cloud-platform-complete-understanding-with-hands-on/,Learn about SAP Cloud Platform in detail and also build & deploy your own applications in SAP Cloud. Course is Updated!,₹385,"₹1,920",Development,Software Development Tools,SAP Cloud Platform
1679,Apache Spark Hands on Specialization for Big Data Analytics,Irfan Elahi,4.1,527,12 total hours,73 lectures,All Levels,https://img-c.udemycdn.com/course/240x135/1281488_469a_14.jpg,https://www.udemy.com/course/apache-spark-hands-on-course-big-data-analytics/,In-depth course to master Apache Spark Development using Scala for Big Data (with 30+ real-world & hands-on examples),₹385,"₹8,640",Development,Data Science,Apache Spark
1680,Learn Advanced Python Programming,Khan School,4.4,526,28.5 total hours,141 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-advanced-python-programming/,Make yourself a Pro in Python by making Python based Application,₹385,"₹8,640",Development,Programming Languages,Python
